ST_CD,MAJCAT,MERCHCAT,CLR,MC_CLR_CONT_1,MC_CLR_CONT_2,MC_CLR_CONT_3,MC_CLR_CONT_4,MC_CLR_CONT_5,MC_CLR_CONT_6,MC_CLR_CONT_7,MC_CLR_CONT_8,MC_CLR_CONT_9,MC_CLR_CONT_10,MC_CLR_CONT_11,MC_CLR_CONT_12
HA10,M_JEANS,M_BLK_JEANS,BLK,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HA10,M_JEANS,M_BLK_JEANS,D_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_BLK_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLK_JEANS,GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_BLK_JEANS,MNT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_BLK_JEANS,L_GRY,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HA10,M_JEANS,M_BLK_JEANS,D_GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HA10,M_JEANS,M_BLU_JEANS,BLK,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLU_JEANS,D_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HA10,M_JEANS,M_BLU_JEANS,L_BL,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_BLU_JEANS,M_BL,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HA10,M_JEANS,M_BLU_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLU_JEANS,S_BL,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HA10,M_JEANS,M_BLU_JEANS,BL,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,L_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_COL_JEANS,NV_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_COL_JEANS,OLV,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,D_GRY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_COL_JEANS,BLK,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_COL_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_COL_JEANS,L_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_COL_JEANS,L_GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HA10,M_JEANS,M_COL_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,M_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HA10,M_JEANS,M_COL_JEANS,BEG,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_COL_JEANS,GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HA10,M_JEANS,M_COL_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,OL_GRN,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,PST,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_COL_JEANS,S_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_JGR_JEANS,D_GRY,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HA10,M_JEANS,M_JGR_JEANS,L_GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_JGR_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_JGR_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,GRY,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HA10,M_JEANS,M_JGR_JEANS,NV_BL,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HA10,M_JEANS,M_JGR_JEANS,S_BL,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HA10,M_JEANS,M_JGR_JEANS,OLV,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_BLK_JEANS,BLK,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%
HB05,M_JEANS,M_BLK_JEANS,D_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLK_JEANS,L_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
