ST_CD,MAJCAT,MERCHCAT,FABRIC,MC_FABRIC_CONT_1,MC_FABRIC_CONT_2,MC_FABRIC_CONT_3,MC_FABRIC_CONT_4,MC_FABRIC_CONT_5,MC_FABRIC_CONT_6,MC_FABRIC_CONT_7,MC_FABRIC_CONT_8,MC_FABRIC_CONT_9,MC_FABRIC_CONT_10,MC_FABRIC_CONT_11,MC_FABRIC_CONT_12
HA10,M_JEANS,M_BLK_JEANS,3/1-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,45352,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,DBY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,DNM_IND,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_BLK_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,KNIT,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
HA10,M_JEANS,M_BLK_JEANS,KNIT_DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,SLUB,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_BLU_JEANS,45352,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,DNM_IND,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_BLU_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,KNIT,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%
HA10,M_JEANS,M_BLU_JEANS,KNIT_DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,MTY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_BLU_JEANS,OD,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HA10,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,SLUB,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HA10,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,3/1-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,COD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,DBY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,KNIT,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
HA10,M_JEANS,M_COL_JEANS,MTY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_COL_JEANS,OD,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_COL_JEANS,RFD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,SLUB,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,YD,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_JGR_JEANS,DBY,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%
HA10,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,KNIT,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HA10,M_JEANS,M_JGR_JEANS,OD,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%
HA10,M_JEANS,M_JGR_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,TWL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLK_JEANS,3/1-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,45352,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,DBY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB05,M_JEANS,M_BLK_JEANS,DNM,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_BLK_JEANS,DNM_IND,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB05,M_JEANS,M_BLK_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,KNIT,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%
HB05,M_JEANS,M_BLK_JEANS,KNIT_DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,SLUB,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB05,M_JEANS,M_BLU_JEANS,45352,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,DNM,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_BLU_JEANS,DNM_IND,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,KNIT,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%
HB05,M_JEANS,M_BLU_JEANS,KNIT_DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,MTY,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB05,M_JEANS,M_BLU_JEANS,OD,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB05,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,SLUB,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB05,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,3/1-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,COD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,DBY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB05,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,KNIT,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%
HB05,M_JEANS,M_COL_JEANS,MTY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_COL_JEANS,OD,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,RFD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,SLUB,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB05,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,YD,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_JGR_JEANS,DBY,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB05,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,KNIT,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%
HB05,M_JEANS,M_JGR_JEANS,OD,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
HB05,M_JEANS,M_JGR_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,TWL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB06,M_JEANS,M_BLK_JEANS,3/1-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,45352,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,DBY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB06,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,DNM_IND,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB06,M_JEANS,M_BLK_JEANS,DNM_KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,KNIT,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%
HB06,M_JEANS,M_BLK_JEANS,KNIT_DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,SLUB,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB06,M_JEANS,M_BLU_JEANS,45352,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,DNM_IND,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
