ST_CD,MAJCAT,MERCHCAT,MVGR,MC_MVGR_CONT_1,MC_MVGR_CONT_2,MC_MVGR_CONT_3,MC_MVGR_CONT_4,MC_MVGR_CONT_5,MC_MVGR_CONT_6,MC_MVGR_CONT_7,MC_MVGR_CONT_8,MC_MVGR_CONT_9,MC_MVGR_CONT_10,MC_MVGR_CONT_11,MC_MVGR_CONT_12
HA10,M_JEANS,M_BLK_JEANS,ANK,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%
HA10,M_JEANS,M_BLK_JEANS,DNM,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_BLK_JEANS,KNIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,REG,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HA10,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,ANK,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
HA10,M_JEANS,M_BLU_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,DNM,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,REG,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%
HA10,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,ANK,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%
HA10,M_JEANS,M_COL_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,KNIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,PRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,REG,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%,41%
HA10,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JEANS_5_PKT_IN,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JEANS_CRS_PKT_IN,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,BASIC,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%
HA10,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,CRG,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%
HA10,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,ANK,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HA10,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,ANK,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%
HB05,M_JEANS,M_BLK_JEANS,DNM,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_BLK_JEANS,KNIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB05,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,REG,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HB05,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,STRT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB05,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,ANK,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
HB05,M_JEANS,M_BLU_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,DNM,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,REG,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HB05,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,ANK,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%
HB05,M_JEANS,M_COL_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,KNIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,OD,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_COL_JEANS,PRT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,REG,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%
HB05,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JEANS_5_PKT_IN,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JEANS_CRS_PKT_IN,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,BASIC,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB05,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,CRG,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%,63%
HB05,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,ANK,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB05,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,ANK,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%
HB06,M_JEANS,M_BLK_JEANS,DNM,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB06,M_JEANS,M_BLK_JEANS,KNIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB06,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,REG,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HB06,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,ANK,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%,73%
HB06,M_JEANS,M_BLU_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,DNM,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB06,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,REG,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HB06,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,TRNG,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,ANK,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HB06,M_JEANS,M_COL_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,KNIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,PRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,REG,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%
HB06,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,STRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JEANS_5_PKT_IN,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JEANS_CRS_PKT_IN,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,BASIC,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%
HB06,M_JEANS,M_JGR_JEANS,BSC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,CRG,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HB06,M_JEANS,M_JGR_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,ANK,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB06,M_JEANS,M_JGR_JEANS,REG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,ANK,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%,61%
HB07,M_JEANS,M_BLK_JEANS,DNM,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB07,M_JEANS,M_BLK_JEANS,KNIT,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HB07,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,PLN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,REG,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB07,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,ANK,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%
HB07,M_JEANS,M_BLU_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,DNM,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,REG,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%
HB07,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,ANK,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
HB07,M_JEANS,M_COL_JEANS,ANKLE,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,KNIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
