ST_CD,MAJCAT,MERCHCAT,MACRO_MVGR,MC_M_MVGR_CONT_1,MC_M_MVGR_CONT_2,MC_M_MVGR_CONT_3,MC_M_MVGR_CONT_4,MC_M_MVGR_CONT_5,MC_M_MVGR_CONT_6,MC_M_MVGR_CONT_7,MC_M_MVGR_CONT_8,MC_M_MVGR_CONT_9,MC_M_MVGR_CONT_10,MC_M_MVGR_CONT_11,MC_M_MVGR_CONT_12
HA10,M_JEANS,M_BLK_JEANS,ANK,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HA10,M_JEANS,M_BLK_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,REG,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HA10,M_JEANS,M_BLK_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,STRT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,TRNG,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,ANK,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HA10,M_JEANS,M_BLU_JEANS,DNM,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,REG,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%
HA10,M_JEANS,M_BLU_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
