ST_CD,MAJCAT,MERCHCAT,VEND_CD,MC_VEND_CONT_1,MC_VEND_CONT_2,MC_VEND_CONT_3,MC_VEND_CONT_4,MC_VEND_CONT_5,MC_VEND_CONT_6,MC_VEND_CONT_7,MC_VEND_CONT_8,MC_VEND_CONT_9,MC_VEND_CONT_10,MC_VEND_CONT_11,MC_VEND_CONT_12
HA10,M_JEANS,M_BLK_JEANS,200033,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HA10,M_JEANS,M_BLK_JEANS,200066,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,200171,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HA10,M_JEANS,M_BLK_JEANS,200348,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_BLK_JEANS,200356,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,200388,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HA10,M_JEANS,M_BLK_JEANS,200502,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HA10,M_JEANS,M_BLK_JEANS,200563,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,200591,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_BLK_JEANS,200760,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_BLK_JEANS,200927,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_BLK_JEANS,201231,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_BLK_JEANS,201608,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,201943,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HA10,M_JEANS,M_BLK_JEANS,202371,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_BLK_JEANS,200267,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_BLK_JEANS,200263,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,200182,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,200033,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HA10,M_JEANS,M_BLU_JEANS,200233,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HA10,M_JEANS,M_BLU_JEANS,200267,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
