ST_CD,ST_NM,ST_OPNG_DATE,ALLOC_SCH,ST_NO,PRIORITY_LIST,MTH_SALES_COVER,L1_SALES_COVER,MIX_DAY_COVER_CAP,ST0002_SALES_COVER,INT_PRD_COVER,ALLOC_DAY_COVER,CM_RMN_DAYS,BGT_DAYS,RMN_BGT_DAYS,LISTING_M_1,LISTING_M_2,LISTING_M_3,LISTING_M_4,LISTING_M_5,LISTING_M_6,LISTING_M_7,LISTING_M_8,LISTING_M_9,LISTING_M_10,LISTING_M_11,LISTING_M_12,CM_RMN_SALES_CONS,NM_RMN_SALES_CONS
HJ08,JMD,40691,BW,1,259,30,7,14,10,4,14,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HI05,SLN,40700,W,2,277,30,7,14,14,4,18,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HD16,MHPL,40710,BW,3,222,30,7,14,10,1,11,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB05,PTN,41028,BW,4,131,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB06,GAYA,41171,BW,5,119,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB08,DRBG,41356,BW,6,106,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB07,BGPR,41371,BW,7,241,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO09,CTK-1,41378,W,8,149,30,7,14,14,10,24,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB09,BETIA,41389,BW,9,259,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO08,BHRM,41405,BW,10,223,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HK04,HBL,41412,W,11,264,30,7,14,14,7,21,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB10,ARA,41707,BW,12,232,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HN10,GWHT,41731,W,13,141,30,7,14,14,11,25,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HU34,GK-2-MDCLRD,42433,BW,14,193,30,7,14,10,3,13,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB11,PURNIA,42439,W,15,288,30,7,14,14,11,25,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HU36,JNPR-01,42483,W,16,265,30,7,14,14,10,24,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB13,SWN,42502,BW,17,228,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB15,B-SRF,42539,BW,18,125,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB16,STMD,42660,BW,19,116,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HD22,KPSHR,42693,BW,20,233,30,7,14,10,1,11,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HN11,SLCHR,42760,W,21,229,30,7,14,14,13,27,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HN21,AGRTLA,42760,W,22,197,30,7,14,14,14,28,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HA10,ITNGR,42770,W,23,153,30,7,14,14,14,28,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB17,MTHR,42790,BW,24,237,30,7,14,10,6,16,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HU41,V-2-LANKA,42801,BW,25,263,30,7,14,10,3,13,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HU44,GZPR,42901,W,26,252,30,7,14,14,10,24,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HJ09,RNCH,42980,BW,27,166,30,7,14,10,3,13,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HT14,RRKE,42985,W,28,140,30,7,14,14,4,18,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HJ10,HZRBG,42995,BW,29,249,30,7,14,10,3,13,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO10,BBSR,43001,BW,30,294,30,7,14,10,5,15,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HM20,SGR,43026,W,31,245,30,7,14,14,5,19,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HU45,PGRH,43059,W,32,226,30,7,14,14,10,24,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HM21,JBLPR,43113,W,33,251,30,7,14,14,5,19,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HJ11,DGHR,43141,W,34,145,30,7,14,14,7,21,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HX10,KTH,43155,W,35,162,30,7,14,14,5,19,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HU49,BHRCH-2,43204,W,36,258,30,7,14,14,6,20,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO11,JEYPORE,43218,W,37,222,30,7,14,14,8,22,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HJ12,R-DHWR,43219,W,38,215,30,7,14,14,7,21,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB21,SHRSA,43260,W,39,185,30,7,14,14,11,25,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HK05,BLGM,43260,W,40,144,30,7,14,14,7,21,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO12,B-2-PTRPD,43262,BW,41,216,30,7,14,10,5,15,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO13,B-3-PATIA,43275,BW,42,243,30,7,14,10,5,15,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HB19,SMSTPR,43290,W,43,205,30,7,14,14,11,25,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HT16,KHTM,43294,W,44,124,30,7,14,14,5,19,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HJ15,CHAS,43334,W,45,177,30,7,14,14,7,21,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HN13,BRPT,43341,W,46,141,30,7,14,14,11,25,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HO15,JJPR,43352,W,47,186,30,7,14,14,10,24,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
HK07,VJPR,43366,W,48,207,30,7,14,14,6,20,28,30,30,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333,0.066666667
