ST_CD,ST_NM,SSN_DAY_M_1,SSN_DAY_M_2,SSN_DAY_M_3,SSN_DAY_M_4,SSN_DAY_M_5,SSN_DAY_M_6,SSN_DAY_M_7,SSN_DAY_M_8,SSN_DAY_M_9,SSN_DAY_M_10,SSN_DAY_M_11,SSN_DAY_M_12,L_CONS_M_1,L_CONS_M_2,L_CONS_M_3,L_CONS_M_4,L_CONS_M_5,L_CONS_M_6,L_CONS_M_7,L_CONS_M_8,L_CONS_M_9,L_CONS_M_10,L_CONS_M_11,L_CONS_M_12,L_OPT_SALES_GR_M_1,L_OPT_SALES_GR_M_2,L_OPT_SALES_GR_M_3,L_OPT_SALES_GR_M_4,L_OPT_SALES_GR_M_5,L_OPT_SALES_GR_M_6,L_OPT_SALES_GR_M_7,L_OPT_SALES_GR_M_8,L_OPT_SALES_GR_M_9,L_OPT_SALES_GR_M_10,L_OPT_SALES_GR_M_11,L_OPT_SALES_GR_M_12
HJ08,JMD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HI05,SLN,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HD16,MHPL,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB05,PTN,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB06,GAYA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB08,DRBG,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB07,BGPR,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO09,CTK-1,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB09,BETIA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HO08,BHRM,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HK04,HBL,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB10,ARA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HN10,GWHT,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU34,GK-2-MDCLRD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB11,PURNIA,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HU36,JNPR-01,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB13,SWN,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB15,B-SRF,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
HB16,STMD,60,60,60,60,60,60,60,60,60,60,60,60, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 , 1.30 
